SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL
24744,"76046","1","DC Comics Super Heroes","Batman v Superman: Dawn of Justice","2016","Heroes of Justice: Sky High Battle",5,517,54.99,59.99,74.99,69.99,"http://images.brickset.com/sets/images/76046-1.jpg"
24745,"76047","1","Marvel Super Heroes","Captain America: Civil War","2016","Black Panther Pursuit",,287,,29.99,,,"http://images.brickset.com/sets/images/76047-1.jpg"
24746,"76048","1","Marvel Super Heroes","Avengers Assemble","2016","Iron Skull Sub Attack",4,335,29.99,29.99,39.99,34.99,"http://images.brickset.com/sets/images/76048-1.jpg"
24747,"76049","1","Marvel Super Heroes","Avengers Assemble","2016","Avenjet Space Mission",5,523,49.99,59.99,74.99,69.99,"http://images.brickset.com/sets/images/76049-1.jpg"
24748,"76050","1","Marvel Super Heroes","Captain America: Civil War","2016","Crossbones' Hazard Heist",,179,,19.99,,34.99,"http://images.brickset.com/sets/images/76050-1.jpg"
25657,"76051","1","Marvel Super Heroes","Captain America: Civil War","2016","Super Hero Airport Battle",,807,,79.99,,,"http://images.brickset.com/sets/images/76051-1.jpg"
24964,"76052","1","DC Comics Super Heroes","Classic Batman TV Series","2016","Batman Classic TV Series - Batcave",,2526,229.99,269.99,,249.99,"http://images.brickset.com/sets/images/76052-1.jpg"
24699,"76053","1","DC Comics Super Heroes","Batman","2016","Gotham City Cycle Chase",,224,,19.99,,,"http://images.brickset.com/sets/images/76053-1.jpg"
25916,"76054","1","DC Comics Super Heroes","Batman","2016","Batman: Scarecrow Harvest of Fear",,563,59.99,59.99,,,"http://images.brickset.com/sets/images/76054-1.jpg"
25918,"76055","1","DC Comics Super Heroes","Batman","2016","Batman: Killer Croc Sewer Smash",,759,69.99,79.99,,,"http://images.brickset.com/sets/images/76055-1.jpg"
26065,"76056","1","DC Comics Super Heroes","Batman","2016","Rescue From Ra's Al Ghul",,,,,,,
26029,"76057","1","Marvel Super Heroes","Ultimate Spider-Man","2016","Spider-Man: Web Warriors Ultimate Bridge Battle",,1092,99.99,99.99,,,"http://images.brickset.com/sets/images/76057-1.jpg"
25917,"76058","1","Marvel Super Heroes","Ultimate Spider-Man","2016","Spider-Man: Ghost Rider Team-Up",,217,19.99,19.99,,,"http://images.brickset.com/sets/images/76058-1.jpg"
25969,"76059","1","Marvel Super Heroes","Ultimate Spider-Man","2016","Spider-Man: Doc Ock's Tentacle Trap",,446,44.99,39.99,,,"http://images.brickset.com/sets/images/76059-1.jpg"
