"3D printing"
"Amateur radio"
"Acting"
"Baton twirling"
"Board games"
"Book restoration"
"Cabaret"
"Calligraphy"
"Candle making"
"Computer programming"
"Coffee roasting"
"Cooking"
"Coloring"
"Cosplaying"
"Couponing"
"Creative writing"
"Crocheting"
"Crossword puzzles"
"Cryptography"
"Dance"
"Digital arts"
"Drama"
"Drawing"
"Do it yourself"
"Electronics"
"Embroidery"
"Fashion"
"Flower arranging"
"Foreign language learning"
"Gaming (tabletop games and role-playing games)"
"Gambling"
"Genealogy"
"Glassblowing"
"Gunsmithing"
"Homebrewing"
"Ice skating"
"Jewelry making"
"Jigsaw puzzles"
"Juggling"
"Knapping"
"Knitting"
"Kabaddi"
"Knife making"
"Kombucha Brewing"
"Lacemaking"
"Lapidary"
"Leather crafting"
"Lego building"
"Lockpicking"
"Machining"
"Macrame"
"Metalworking"
"Magic"
"Model building"
"Listening to music"
"Origami"
"Painting"
"Playing musical instruments"
"Pet"
"Poi"
"Pottery"
"Puzzles"
"Quilting"
"Reading"
"Scrapbooking"
"Sculpting"
"Sewing"
"Singing"
"Sudoku"
"Sketching"
"Soapmaking"
"Stand-up comedy"
"Table tennis"
"Video gaming"
"Watching movies"
"Web surfing"
"Whittling"
"Wood carving"
"Woodworking"
"Worldbuilding"
"Writing"
"Yoga"
"Yo-yoing"
"Air sports"
"Archery"
"Astronomy"
"Backpacking"
"BASE jumping"
"Baseball"
"Basketball"
"Beekeeping"
"Bird watching"
"Blacksmithing"
"Board sports"
"Bodybuilding"
"Brazilian jiu-jitsu"
"Community"
"Cycling"
"Camping"
"Dowsing"
"Driving"
"Fishing"
"Flag Football"
"Flying"
"Flying disc"
"Foraging"
"Gardening"
"Geocaching"
"Ghost hunting"
"Graffiti"
"Handball"
"Hiking"
"Hooping"
"Horseback riding"
"Hunting"
"Inline skating"
"Jogging"
"Kayaking"
"Kite flying"
"Kitesurfing"
"LARPing"
"Letterboxing"
"Metal detecting"
"Motor sports"
"Mountain biking"
"Mountaineering"
"Mushroom hunting/Mycology"
"Netball"
"Nordic skating"
"Orienteering"
"Paintball"
"Parkour"
"Photography"
"Polo"
"Rafting"
"Rappelling"
"Rock climbing"
"Roller skating"
"Rugby"
"Running"
"Sailing"
"Sand art"
"Scouting"
"Scuba diving"
"Sculling or Rowing"
"Topiary"
"Shooting"
"Shopping"
"Skateboarding"
"Skiing"
"Skimboarding"
"Skydiving"
"Slacklining"
"Snowboarding"
"Stone skipping"
"Surfing"
"Swimming"
"Taekwondo"
"Tai chi"
"Urban exploration"
"Vacation"
"Vehicle restoration"
"Walking"
"Water sports"
"Action figure"
"Antiquing"
"Art collecting"
"Book collecting"
"Card collecting"
"Coin collecting"
"Comic book collecting"
"Deltiology (postcard collecting)"
"Die-cast toy"
"Element collecting"
"Movie and movie memorabilia collecting"
"Record collecting"
"Stamp collecting"
"Video game collecting"
"Vintage cars"
"Antiquities"
"Auto audiophilia"
"Flower collecting and pressing"
"Fossil hunting"
"Insect collecting"
"Metal detecting"
"Stone collecting"
"Mineral collecting"
"Rock balancing"
"Sea glass collecting"
"Seashell collecting"
"Aqua-lung"
"Animal fancy"
"Badminton"
"Baton Twirling"
"Billiards"
"Bowling"
"Boxing"
"Bridge"
"Cheerleading"
"Chess"
"Color guard"
"Curling"
"Dancing"
"Darts"
"Debate"
"Fencing"
"Go"
"Gymnastics"
"Marbles"
"Martial arts"
"Mahjong"
"Poker"
"Slot car racing"
"Table football"
"Video Games"
"Volleyball"
"Weightlifting"
"Airsoft"
"American football"
"Archery"
"Association football"
"Australian rules football"
"Auto racing"
"Baseball"
"Beach Volleyball"
"Breakdancing"
"Climbing"
"Cricket"
"Cycling"
"Disc golf"
"Dog sport"
"Equestrianism"
"Exhibition drill"
"Field hockey"
"Figure skating"
"Fishing"
"Footbag"
"Golfing"
"Handball"
"Ice hockey"
"Judo"
"Jukskei"
"Kart racing"
"Knife throwing"
"Lacrosse"
"Laser tag"
"Model aircraft"
"Pigeon racing"
"Racquetball"
"Radio-controlled car racing"
"Roller derby"
"Rugby league football"
"Sculling or Rowing"
"Shooting sport"
"Skateboarding"
"Speed skating"
"Squash"
"Surfing"
"Swimming"
"Table tennis"
"Tennis"
"Tour skating"
"Triathlon"
"Ultimate Disc"
"Volleyball"
"Fishkeeping"
"Learning"
"Microscopy"
"Reading"
"Shortwave listening"
"Videophilia"
"Aircraft spotting"
"Amateur astronomy"
"Amateur geology"
"Astrology"
"Birdwatching"
"Bus spotting"
"Geocaching"
"Gongoozling"
"Herping"
"Meteorology"
"People watching"
"Trainspotting"
"Traveling"
"Hiking/backpacking"
"Whale Watching"
"Planking"
